"sofifa_id","short_name","age","day_birthday","height_cm","weight_kg","nationality","club","overall","potential","value_eur","wage_eur","player_positions","weak_foot","skill_moves"
"158023","L. Messi","32","31952","170","72","Argentina","FC Barcelona","94","94","95500000","565000","RW","Left","5"
"20801","Cristiano Ronaldo","34","31083","187","83","Portugal","Juventus","93","93","58500000","405000","ST","Right","4"
"190871","Neymar Jr","27","33639","175","68","Brazil","Paris Saint-Germain","92","92","105500000","290000","LW","Right","5"
"200389","J. Oblak","26","33976","188","87","Slovenia","AtlĂ©tico Madrid","91","93","77500000","125000","GK","Right","1"
"183277","E. Hazard","28","33245","175","74","Belgium","Real Madrid","91","91","90000000","470000","LW","Right","4"
"192985","K. De Bruyne","28","33417","181","70","Belgium","Manchester City","91","91","90000000","370000","CAM","Right","5"
"192448","M. ter Stegen","27","33724","187","85","Germany","FC Barcelona","90","93","67500000","250000","GK","Right","1"
"203376","V. van Dijk","27","33427","193","92","Netherlands","Liverpool","90","91","78000000","200000","CB","Right","2"
"177003","L. ModriÄ‡","33","31299","172","66","Croatia","Real Madrid","90","90","45000000","340000","CM","Right","4"
"209331","M. Salah","27","33770","175","71","Egypt","Liverpool","90","90","80500000","240000","RW","Left","3"
"231747","K. MbappĂ©","20","36149","178","73","France","Paris Saint-Germain","89","95","93500000","155000","ST","Right","4"
"201024","K. Koulibaly","28","33409","187","89","Senegal","Napoli","89","91","67500000","150000","CB","Right","2"
"202126","H. Kane","25","34178","188","89","England","Tottenham Hotspur","89","91","83000000","220000","ST","Right","3"
"212831","Alisson","26","33879","191","91","Brazil","Liverpool","89","91","58000000","155000","GK","Right","1"
"193080","De Gea","28","33184","192","82","Spain","Manchester United","89","90","56000000","205000","GK","Right","1"
"215914","N. KantĂ©","28","33326","168","72","France","Chelsea","89","90","66000000","235000","CDM","Right","3"
"138956","G. Chiellini","34","30908","187","85","Italy","Juventus","89","89","24500000","215000","CB","Left","2"
"153079","S. AgĂĽero","31","32296","173","70","Argentina","Manchester City","89","89","60000000","300000","ST","Right","4"
"155862","Sergio Ramos","33","31501","184","82","Spain","Real Madrid","89","89","31500000","300000","CB","Right","3"
"176580","L. SuĂˇrez","32","31801","182","86","Uruguay","FC Barcelona","89","89","53000000","355000","ST","Right","3"
"188545","R. Lewandowski","30","32376","184","80","Poland","FC Bayern MĂĽnchen","89","89","64500000","235000","ST","Right","4"
"189511","Sergio Busquets","30","32340","189","76","Spain","FC Barcelona","89","89","55000000","300000","CDM","Right","3"
"194765","A. Griezmann","28","33318","176","73","France","FC Barcelona","89","89","69000000","370000","CF","Left","4"
"211110","P. Dybala","25","34288","177","75","Argentina","Juventus","88","92","76500000","215000","CAM","Left","3"
"195864","P. Pogba","26","34043","191","84","France","Manchester United","88","91","72500000","250000","CM","Right","4"
"210257","Ederson","25","34198","188","86","Brazil","Manchester City","88","91","54500000","185000","GK","Left","1"
"202652","R. Sterling","24","34676","170","69","England","Manchester City","88","90","73000000","255000","RW","Right","3"
"190460","C. Eriksen","27","33648","181","76","Denmark","Tottenham Hotspur","88","89","68000000","205000","CAM","Right","5"
"192119","T. Courtois","27","33735","199","96","Belgium","Real Madrid","88","89","48000000","235000","GK","Left","1"
"152729","PiquĂ©","32","31810","194","85","Spain","FC Barcelona","88","88","38000000","285000","CB","Right","2"
"162835","S. HandanoviÄŤ","34","30877","193","92","Slovenia","Inter","88","88","26000000","110000","GK","Right","1"
"167495","M. Neuer","33","31498","193","92","Germany","FC Bayern MĂĽnchen","88","88","32000000","155000","GK","Right","1"
"167948","H. Lloris","32","31772","188","82","France","Tottenham Hotspur","88","88","36000000","150000","GK","Left","1"
